Title;title_year;budget;Gross;actor_1_name;actor_2_name;actor_3_name;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;IMDb_rating;genre_1;genre_2;genre_3;MetaCritic;Runtime;CVotes10;CVotes09;CVotes08;CVotes07;CVotes06;CVotes05;CVotes04;CVotes03;CVotes02;CVotes01;CVotesMale;CVotesFemale;content_rating;Country
Ex Machina;2014;15000000;25440971;Elina Alminas;Sonoya Mizuno;Corey Johnson;149;145;123;7.7;Drama;Mystery;Sci-Fi;78;108;29780;64769;123938;82736;28662;9579;3806;1951;1165;2182;237599;41160;R;UK
The Imitation Game;2014;14000000;91121452;Benedict Cumberbatch;Rory Kinnear;Allen Leech;19000;393;305;8.1;Biography;Drama;Thriller;73;114;80221;137855;187223;94784;25801;7553;2625;1311;824;2307;328283;92724;PG-13;UK
Flipped;2010;14000000;1752214;Madeline Carroll;Rebecca De Mornay;Aidan Quinn;1000;872;767;7.7;Comedy;Drama;Romance;;124;11354;11050;20808;14372;5412;1848;664;321;230;402;33714;22540;PG;USA
Black Swan;2010;13000000;106952327;Natalie Portman;Mila Kunis;Mark Margolis;20000;15000;1000;8;Drama;Thriller;;79;108;93798;136615;174500;97826;40319;16993;9084;6065;3981;8726;356707;143077;R;USA
The Perks of Being a Wallflower;2012;13000000;17738570;Logan Lerman;Ezra Miller;Kate Walsh;8000;3000;850;8;Drama;Romance;;67;102;78615;85725;110727;64343;24268;8739;3881;2015;1324;3037;202178;108832;PG-13;USA
The Fault in Our Stars;2014;12000000;124868837;Shailene Woodley;Sam Trammell;Nat Wolff;8000;1000;733;7.8;Drama;Romance;;69;126;62666;51004;70457;49770;21628;8843;3907;2173;1560;4271;128951;83384;PG-13;USA
Philomena;2013;12000000;37707719;Steve Coogan;Mare Winningham;Peter Hermann;1000;482;322;7.6;Biography;Drama;;77;98;6420;12446;30264;22752;6670;1743;599;293;163;506;49275;20366;PG-13;UK
Nebraska;2013;12000000;17613460;Devin Ratray;Bruce Dern;Will Forte;1000;844;622;7.7;Adventure;Comedy;Drama;86;115;8377;17556;35402;22938;7672;2578;993;535;372;638;70069;13162;R;USA
About Time;2013;12000000;15294553;Tom Hughes;Tom Hollander;Lindsay Duncan;565;555;171;7.8;Comedy;Drama;Fantasy;;123;38556;43170;70850;45487;16542;5673;2210;1084;664;1182;126718;58098;R;UK
Amour;2012;8900000;225377;Isabelle Huppert;Emmanuelle Riva;Jean-Louis Trintignant;678;432;319;7.9;Drama;Romance;;94;127;11093;15944;22942;14187;5945;2585;1188;710;534;995;49808;16719;PG-13;France
Nightcrawler;2014;8500000;32279955;Jake Gyllenhaal;Michael Papajohn;James Huang;15000;241;85;7.9;Crime;Drama;Thriller;76;118;30873;66834;130676;77067;22511;6698;2538;1243;790;1503;235721;38888;R;USA
50/50;2011;8000000;34963967;Joseph Gordon-Levitt;Anna Kendrick;Bryce Dallas Howard;23000;10000;3000;7.7;Comedy;Drama;Romance;72;100;28304;47501;99524;71485;24252;7545;2381;1109;634;1202;188925;58348;R;USA
End of Watch;2012;7000000;40983001;Jake Gyllenhaal;Anna Kendrick;America Ferrera;15000;10000;953;7.7;Crime;Drama;Thriller;68;109;20733;32267;68590;46486;15489;5370;2235;1186;805;1521;147679;17678;R;USA
Dallas Buyers Club;2013;5000000;27296514;Matthew McConaughey;Jennifer Garner;Denis O'Hare;11000;3000;896;8;Biography;Drama;;84;117;37544;82276;145488;66156;16777;4582;1721;870;654;1588;231258;63266;R;USA
Boyhood;2014;4000000;25359200;Ellar Coltrane;Lorelei Linklater;Libby Villari;230;193;127;7.9;Drama;;;100;165;49673;62055;76838;52238;23789;10431;4906;3071;2248;5086;183807;51558;R;USA
Whiplash;2014;3300000;13092000;J.K. Simmons;Melissa Benoist;Chris Mulkey;24000;970;535;8.5;Drama;Music;;88;107;110404;161864;132656;56007;16577;6031;2937;1859;1263;2723;308900;71066;R;USA
Before Midnight;2013;3000000;8114507;Seamus Davey-Fitzpatrick;Ariane Labed;Athina Rachel Tsangari;140;63;48;7.9;Drama;Romance;;94;109;16953;22109;31439;19251;8142;3412;1649;1033;826;1745;67076;23823;R;USA
Star Wars: Episode VII - The Force Awakens;2015;245000000;936662225;Doug Walker;Rob Walker;0;131;12;0;8.1;Action;Adventure;Fantasy;81;136;155391;161810;166378;99402;40734;18060;8751;5970;4489;15768;425971;68664;PG-13;USA
Harry Potter and the Deathly Hallows: Part I;2010;150000000;296347721;Rupert Grint;Toby Jones;Alfred Enoch;10000;2000;1000;7.7;Adventure;Family;Fantasy;65;146;68937;54947;102488;80465;31205;11792;4808;2454;1617;4522;223868;79506;PG-13;UK
Tucker and Dale vs Evil;2010;5000000;223838;Katrina Bowden;Tyler Labine;Chelan Simmons;948;779;440;7.6;Comedy;Horror;;65;124;16572;19818;44460;35863;13456;4588;1684;855;479;848;106144;15113;R;Canada
